New constituency name,Total population,Number of households,,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,,United Kingdom,Ireland,Other Europe,Africa,Middle East and Asia,Americas and the Caribbean,Australasia and others,,White British,Other White,Asian / Asian British,Black / Black British,Mixed / Multiple ethnic groups,Other ethnic groups,,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered,,Owned outright,Owned with a mortgage or loan,Private rented,Social rented,Other tenure
North Shropshire,"101,000","43,400",,16.5%,9.0%,10.3%,16.7%,22.8%,24.7%,,93.9%,0.3%,3.6%,0.7%,0.9%,0.4%,0.2%,,93.4%,4.0%,0.9%,0.3%,1.0%,0.3%,,35.9%,57.1%,0.2%,0.1%,0.0%,0.4%,0.1%,0.4%,5.7%,,42.0%,27.2%,16.9%,13.0%,0.8%
North Somerset,"94,200","40,800",,17.7%,7.6%,8.9%,19.2%,21.0%,25.5%,,92.8%,0.4%,3.3%,1.1%,1.2%,0.8%,0.3%,,91.9%,4.2%,1.3%,0.4%,1.8%,0.4%,,44.2%,48.2%,0.3%,0.2%,0.1%,0.5%,0.1%,0.5%,6.0%,,44.1%,33.5%,14.2%,7.6%,0.7%
North Warwickshire and Bedworth,"93,700","39,500",,17.9%,9.0%,12.2%,18.2%,21.5%,21.2%,,93.0%,0.4%,3.4%,0.8%,1.9%,0.3%,0.1%,,88.4%,3.9%,4.0%,1.1%,1.8%,0.8%,,37.8%,52.6%,0.2%,0.8%,0.0%,0.7%,2.4%,0.4%,5.0%,,37.6%,32.3%,15.3%,13.9%,1.0%
North West Cambridgeshire,"114,000","46,800",,21.2%,9.0%,14.2%,21.5%,18.4%,15.7%,,81.1%,0.4%,10.9%,2.8%,3.3%,1.4%,0.2%,,75.3%,11.5%,5.0%,3.7%,3.1%,1.4%,,39.3%,49.2%,0.3%,1.6%,0.1%,2.9%,0.5%,0.5%,5.6%,,28.8%,34.0%,21.0%,14.8%,1.4%
North West Essex,"105,000","42,600",,19.8%,8.5%,11.2%,20.0%,20.6%,19.8%,,90.8%,0.5%,3.9%,1.6%,2.1%,0.8%,0.4%,,87.8%,5.4%,2.6%,1.2%,2.3%,0.7%,,41.7%,49.6%,0.4%,0.7%,0.3%,0.9%,0.1%,0.4%,5.8%,,35.3%,34.9%,13.9%,14.0%,1.9%
North West Hampshire,"108,000","44,700",,19.7%,8.5%,14.0%,20.5%,20.0%,17.4%,,87.2%,0.4%,5.9%,2.1%,3.2%,0.8%,0.3%,,85.6%,6.2%,3.7%,1.6%,2.1%,0.7%,,43.2%,47.7%,0.6%,1.1%,0.1%,1.0%,0.2%,0.5%,5.7%,,30.2%,35.0%,14.6%,17.8%,2.5%
North West Leicestershire,"99,400","42,800",,17.7%,9.6%,12.5%,19.1%,20.9%,20.1%,,93.7%,0.3%,3.6%,0.8%,1.1%,0.3%,0.1%,,91.9%,4.0%,1.5%,0.6%,1.5%,0.5%,,44.0%,49.0%,0.2%,0.5%,0.0%,0.4%,0.3%,0.4%,5.1%,,36.7%,34.7%,13.7%,13.6%,1.2%
North West Norfolk,"103,000","45,600",,16.4%,8.3%,11.4%,16.8%,20.9%,26.3%,,88.4%,0.3%,7.5%,0.8%,2.1%,0.7%,0.1%,,87.3%,7.8%,2.4%,0.6%,1.3%,0.7%,,38.4%,53.3%,0.3%,0.4%,0.1%,0.6%,0.1%,0.5%,6.3%,,40.8%,24.5%,18.7%,15.4%,0.6%
Northampton North,"128,000","52,300",,19.7%,12.0%,16.3%,21.1%,16.9%,14.1%,,69.4%,0.8%,18.1%,5.1%,5.3%,1.0%,0.1%,,59.3%,17.8%,8.6%,8.6%,3.8%,1.9%,,34.8%,48.1%,0.3%,1.7%,0.1%,7.3%,0.4%,0.7%,6.8%,,24.7%,27.1%,27.0%,19.5%,1.6%
Northampton South,"110,000","43,200",,20.7%,10.4%,13.7%,21.5%,18.3%,15.4%,,77.8%,0.6%,12.2%,4.3%,4.0%,0.9%,0.1%,,69.3%,12.3%,7.0%,6.7%,3.4%,1.4%,,36.8%,49.3%,0.4%,2.1%,0.1%,3.7%,0.8%,0.6%,6.2%,,29.8%,36.7%,19.4%,12.5%,1.7%
Norwich North,"99,100","44,400",,17.3%,9.2%,14.2%,19.9%,19.2%,20.1%,,88.9%,0.3%,6.3%,1.4%,2.2%,0.6%,0.2%,,86.4%,6.6%,2.5%,1.4%,2.1%,0.9%,,49.3%,41.0%,0.4%,0.4%,0.1%,1.7%,0.1%,0.5%,6.4%,,34.6%,28.4%,16.2%,20.1%,0.7%
Norwich South,"105,000","47,200",,14.7%,20.0%,15.6%,17.9%,15.5%,16.3%,,82.3%,0.4%,7.7%,2.2%,5.6%,1.5%,0.3%,,77.3%,8.9%,6.3%,2.5%,3.2%,1.9%,,52.9%,33.7%,0.8%,1.5%,0.3%,2.9%,0.1%,0.9%,6.9%,,24.4%,18.7%,28.2%,27.9%,0.8%
Nottingham East,"122,000","47,600",,16.7%,24.4%,17.2%,18.3%,14.1%,9.3%,,69.2%,0.5%,11.2%,5.3%,11.4%,2.3%,0.1%,,49.2%,11.0%,18.6%,11.0%,5.9%,4.3%,,38.2%,32.2%,0.6%,1.5%,0.3%,16.9%,1.0%,0.9%,8.4%,,19.4%,20.6%,37.9%,21.4%,0.7%
Nottingham North and Kimberley,"109,000","44,800",,22.4%,10.3%,13.9%,19.5%,18.6%,15.3%,,82.0%,0.4%,6.3%,3.8%,5.7%,1.7%,0.1%,,66.1%,6.4%,10.1%,9.6%,5.8%,2.0%,,43.8%,39.0%,0.4%,1.3%,0.1%,7.6%,1.4%,0.5%,5.9%,,26.8%,27.5%,18.1%,26.9%,0.7%
Nottingham South,"109,000","39,300",,16.0%,29.6%,13.0%,15.2%,13.9%,12.4%,,78.4%,0.4%,6.8%,4.0%,8.7%,1.5%,0.2%,,61.9%,7.2%,14.3%,8.0%,5.4%,3.2%,,42.5%,34.4%,0.5%,2.2%,0.5%,10.2%,1.4%,0.7%,7.7%,,24.6%,22.1%,26.6%,25.8%,0.9%
Nuneaton,"99,500","41,900",,19.2%,9.4%,14.4%,19.1%,19.9%,18.1%,,88.5%,0.3%,5.0%,1.5%,4.2%,0.4%,0.1%,,82.4%,5.3%,7.8%,1.7%,1.8%,1.0%,,38.5%,48.1%,0.6%,1.6%,0.0%,3.5%,1.5%,0.7%,5.3%,,33.5%,33.4%,17.2%,14.8%,1.0%
Old Bexley and Sidcup,"101,000","39,700",,18.9%,10.0%,12.3%,20.2%,19.8%,18.9%,,83.9%,0.8%,5.3%,3.1%,5.7%,1.0%,0.2%,,73.4%,6.7%,9.5%,5.0%,3.2%,2.2%,,36.0%,49.1%,0.8%,3.3%,0.1%,3.2%,1.1%,0.4%,5.9%,,37.7%,38.5%,13.7%,8.9%,1.1%
Oldham East and Saddleworth,"109,000","42,200",,22.5%,10.5%,12.6%,19.0%,18.7%,16.7%,,85.2%,0.4%,3.9%,1.7%,8.3%,0.4%,0.1%,,69.5%,3.0%,20.6%,3.0%,2.7%,1.3%,,26.5%,47.2%,0.2%,0.2%,0.1%,20.8%,0.0%,0.3%,4.6%,,33.0%,29.1%,17.7%,19.5%,0.7%
"Oldham West, Chadderton and Royton","112,000","41,400",,23.9%,11.9%,13.4%,19.5%,16.7%,14.6%,,79.8%,0.4%,3.9%,2.2%,13.2%,0.4%,0.1%,,56.7%,2.7%,32.8%,3.9%,2.4%,1.5%,,22.0%,39.8%,0.2%,0.8%,0.0%,32.1%,0.1%,0.2%,4.7%,,29.8%,28.1%,17.5%,23.8%,0.8%
Orpington,"98,200","39,200",,20.2%,9.0%,11.0%,20.5%,19.8%,19.4%,,81.9%,0.6%,5.3%,3.5%,7.0%,1.4%,0.3%,,71.0%,7.4%,10.1%,6.1%,3.8%,1.7%,,36.2%,49.6%,0.7%,4.1%,0.2%,2.5%,0.4%,0.5%,5.9%,,38.1%,35.1%,11.3%,14.7%,0.8%
Ossett and Denby Dale,"93,200","40,500",,17.4%,8.9%,10.8%,18.8%,21.5%,22.6%,,94.5%,0.3%,2.4%,0.8%,1.6%,0.3%,0.1%,,91.6%,2.6%,2.8%,0.9%,1.6%,0.6%,,40.6%,50.4%,0.2%,0.3%,0.0%,2.4%,0.2%,0.4%,5.4%,,39.6%,32.9%,13.7%,12.9%,0.8%
Oxford East,"117,000","42,400",,17.0%,17.5%,18.4%,20.3%,15.2%,11.6%,,65.5%,0.8%,13.2%,3.9%,12.1%,3.9%,0.6%,,52.7%,16.0%,16.4%,5.6%,5.5%,3.9%,,36.6%,40.2%,0.7%,1.6%,0.4%,10.5%,0.4%,0.9%,8.7%,,23.6%,20.8%,30.9%,23.0%,1.8%
Oxford West and Abingdon,"106,000","38,200",,15.5%,20.3%,14.0%,16.9%,16.6%,16.8%,,74.0%,0.7%,10.3%,2.3%,7.7%,4.1%,0.9%,,68.2%,14.4%,8.9%,2.1%,4.2%,2.1%,,42.3%,41.7%,0.8%,1.3%,0.8%,2.9%,0.2%,0.7%,9.3%,,35.8%,25.5%,24.1%,13.5%,1.0%
Peckham,"108,000","44,500",,17.4%,13.0%,23.1%,21.4%,17.0%,8.0%,,57.5%,1.0%,10.5%,13.7%,6.3%,10.2%,0.7%,,29.2%,12.2%,9.1%,34.4%,7.3%,7.8%,,32.5%,46.5%,1.0%,0.6%,0.3%,11.3%,0.2%,0.7%,7.1%,,7.7%,16.1%,25.3%,47.5%,3.4%
Pendle and Clitheroe,"109,000","45,300",,20.1%,9.5%,12.2%,19.0%,20.0%,19.4%,,86.6%,0.3%,5.1%,0.4%,7.3%,0.2%,0.1%,,76.3%,4.2%,17.0%,0.2%,1.4%,0.8%,,30.9%,46.6%,0.2%,0.1%,0.0%,16.4%,0.0%,0.4%,5.3%,,37.2%,28.8%,21.3%,12.0%,0.8%
Penistone and Stocksbridge,"89,000","39,300",,16.4%,8.2%,10.1%,18.2%,22.6%,24.6%,,96.7%,0.2%,1.3%,0.5%,0.9%,0.3%,0.1%,,94.9%,1.7%,1.1%,0.7%,1.3%,0.3%,,40.9%,52.3%,0.2%,0.1%,0.1%,0.6%,0.2%,0.4%,5.3%,,42.2%,33.3%,10.7%,13.3%,0.4%
Penrith and Solway,"97,200","43,900",,15.4%,8.1%,10.0%,16.6%,23.9%,26.0%,,95.7%,0.2%,2.4%,0.5%,0.8%,0.3%,0.1%,,95.4%,2.7%,0.8%,0.1%,0.7%,0.3%,,34.0%,59.0%,0.2%,0.1%,0.0%,0.3%,0.0%,0.3%,5.9%,,45.8%,24.8%,14.2%,14.4%,0.8%
Peterborough,"130,000","49,800",,22.3%,10.5%,15.1%,20.9%,16.7%,14.4%,,67.9%,0.3%,17.7%,3.1%,9.9%,1.0%,0.1%,,52.3%,17.3%,19.7%,3.7%,3.5%,3.5%,,28.4%,44.7%,0.2%,1.6%,0.1%,17.8%,0.7%,0.4%,6.0%,,26.7%,25.7%,25.5%,20.7%,1.4%
Plymouth Moor View,"101,000","43,000",,19.4%,9.6%,13.1%,18.3%,19.7%,19.9%,,93.7%,0.2%,3.2%,0.8%,1.6%,0.4%,0.1%,,93.1%,2.9%,1.6%,0.7%,1.2%,0.6%,,48.8%,44.2%,0.3%,0.3%,0.1%,0.7%,0.0%,0.4%,5.3%,,30.8%,29.2%,13.8%,24.5%,1.7%
Plymouth Sutton and Devonport,"107,000","47,200",,15.4%,18.5%,15.8%,18.6%,17.4%,14.3%,,85.6%,0.3%,7.3%,1.8%,3.8%,0.8%,0.3%,,82.8%,7.4%,3.8%,1.8%,2.6%,1.6%,,51.6%,37.4%,0.6%,0.5%,0.1%,2.4%,0.1%,0.8%,6.7%,,21.7%,23.5%,35.0%,19.0%,0.9%
"Pontefract, Castleford and Knottingley","101,000","44,100",,18.9%,8.9%,15.0%,18.6%,20.5%,18.1%,,94.2%,0.2%,3.8%,0.6%,1.0%,0.2%,0.1%,,92.6%,3.9%,1.3%,0.8%,1.1%,0.3%,,43.8%,49.3%,0.2%,0.2%,0.0%,0.5%,0.1%,0.4%,5.4%,,30.6%,32.1%,13.9%,22.5%,0.9%
Pontypridd,"101,000","43,300",,18.6%,11.1%,13.4%,18.8%,19.6%,18.5%,,95.1%,0.2%,2.0%,0.8%,1.6%,0.3%,0.1%,,93.7%,2.0%,1.9%,0.7%,1.2%,0.5%,,55.4%,36.8%,0.3%,0.3%,0.0%,0.8%,0.1%,0.5%,5.8%,,36.5%,32.5%,16.6%,14.1%,0.3%
Poole,"97,200","43,200",,17.0%,8.3%,12.3%,18.8%,20.4%,23.1%,,87.9%,0.5%,6.2%,1.4%,2.7%,1.1%,0.3%,,86.5%,7.0%,2.9%,0.7%,2.0%,0.9%,,42.9%,47.7%,0.4%,0.5%,0.3%,1.0%,0.0%,0.6%,6.5%,,36.4%,29.8%,21.4%,11.4%,1.0%
Poplar and Limehouse,"139,000","56,100",,18.5%,14.2%,28.6%,23.6%,10.1%,5.0%,,49.9%,0.7%,17.8%,4.7%,22.5%,3.7%,0.8%,,21.4%,18.7%,42.9%,7.7%,5.1%,4.1%,,26.1%,25.3%,1.1%,3.1%,0.4%,35.9%,0.3%,0.6%,7.3%,,8.0%,16.2%,42.4%,30.9%,2.6%
Portsmouth North,"100,000","40,700",,19.9%,9.8%,14.1%,19.7%,19.7%,16.7%,,88.4%,0.3%,5.2%,1.7%,3.7%,0.6%,0.2%,,85.3%,5.0%,4.8%,2.0%,1.9%,1.0%,,48.3%,42.1%,0.4%,0.5%,0.1%,2.6%,0.2%,0.5%,5.4%,,31.0%,32.8%,19.9%,15.3%,1.0%
Portsmouth South,"108,000","45,400",,16.0%,20.9%,15.9%,18.4%,15.7%,13.0%,,78.1%,0.4%,9.6%,3.6%,6.7%,1.4%,0.3%,,70.7%,9.8%,8.8%,4.7%,3.4%,2.6%,,45.9%,36.9%,0.6%,1.0%,0.1%,7.0%,0.3%,0.7%,7.4%,,20.6%,21.4%,36.4%,20.4%,1.2%
Preston,"115,000","46,700",,19.9%,15.5%,15.6%,19.0%,17.2%,13.0%,,78.4%,0.4%,7.8%,2.6%,9.9%,0.7%,0.1%,,62.5%,7.6%,21.8%,2.7%,3.3%,2.1%,,27.6%,44.1%,0.3%,3.0%,0.1%,18.1%,0.7%,0.4%,5.7%,,26.8%,24.7%,25.5%,22.2%,0.7%
Putney,"111,000","46,400",,17.4%,10.3%,22.8%,24.0%,14.9%,10.5%,,60.2%,1.4%,15.7%,6.1%,9.4%,5.5%,1.8%,,47.6%,21.3%,12.0%,7.9%,6.4%,4.7%,,34.2%,43.7%,0.9%,1.5%,0.7%,10.6%,0.3%,0.6%,7.5%,,19.3%,25.0%,34.7%,18.9%,2.1%
Queen's Park and Maida Vale,"124,000","51,500",,17.5%,12.0%,19.0%,22.4%,18.6%,10.5%,,51.3%,1.6%,16.4%,8.9%,13.6%,6.9%,1.1%,,25.4%,21.8%,14.1%,17.3%,7.2%,14.1%,,23.4%,38.5%,0.8%,1.8%,1.6%,24.7%,0.1%,0.7%,8.4%,,12.7%,14.2%,33.4%,38.3%,1.4%
Rawmarsh and Conisbrough,"94,300","41,200",,18.8%,9.3%,13.0%,18.4%,21.0%,19.6%,,95.9%,0.2%,2.4%,0.6%,0.8%,0.1%,0.1%,,94.3%,2.4%,1.0%,0.7%,1.1%,0.4%,,41.6%,51.6%,0.2%,0.1%,0.0%,0.8%,0.1%,0.5%,5.1%,,32.3%,30.3%,14.5%,22.1%,0.9%
Rayleigh and Wickford,"96,500","39,900",,17.6%,8.9%,11.1%,18.5%,21.2%,22.8%,,95.3%,0.4%,1.6%,0.9%,1.2%,0.4%,0.2%,,92.7%,2.3%,1.7%,1.0%,1.8%,0.4%,,44.1%,48.6%,0.2%,0.5%,0.3%,0.6%,0.1%,0.3%,5.3%,,44.0%,37.7%,11.3%,6.4%,0.6%
Reading Central,"116,000","46,400",,17.9%,13.7%,18.6%,22.9%,15.4%,11.5%,,62.8%,0.8%,13.9%,4.9%,14.9%,2.4%,0.4%,,50.4%,15.4%,19.2%,7.0%,4.8%,3.2%,,35.6%,38.8%,1.7%,5.9%,0.2%,9.3%,0.7%,0.8%,7.1%,,22.1%,26.1%,37.3%,13.3%,1.3%
Reading West and Mid Berkshire,"95,300","37,900",,19.9%,9.1%,11.1%,20.3%,20.9%,18.7%,,85.3%,0.7%,5.5%,2.6%,4.2%,1.4%,0.4%,,78.8%,7.0%,6.0%,3.4%,3.9%,0.9%,,39.6%,48.1%,0.6%,1.4%,0.2%,3.1%,0.4%,0.5%,6.1%,,35.7%,34.5%,16.0%,12.7%,1.0%
Redcar,"93,300","42,200",,17.9%,9.1%,11.5%,16.7%,22.2%,22.6%,,96.7%,0.2%,1.3%,0.5%,1.1%,0.2%,0.1%,,96.1%,1.3%,1.0%,0.2%,0.9%,0.5%,,41.0%,51.9%,0.2%,0.1%,0.0%,1.0%,0.1%,0.3%,5.3%,,35.3%,28.0%,15.6%,20.5%,0.6%
Redditch,"98,800","41,300",,18.9%,9.1%,13.3%,19.7%,19.5%,19.5%,,89.4%,0.4%,6.3%,0.7%,2.6%,0.5%,0.1%,,83.8%,6.9%,5.2%,1.1%,2.5%,0.6%,,39.2%,50.1%,0.2%,0.3%,0.1%,3.7%,0.4%,0.4%,5.6%,,32.5%,33.4%,13.8%,19.2%,1.0%
Reigate,"109,000","43,100",,20.1%,8.4%,12.0%,21.4%,19.8%,18.4%,,83.3%,0.8%,5.1%,3.2%,5.7%,1.4%,0.5%,,76.6%,7.4%,8.0%,2.8%,3.7%,1.5%,,36.9%,49.8%,0.5%,2.7%,0.3%,3.1%,0.2%,0.4%,6.1%,,35.0%,36.9%,15.8%,11.1%,1.3%
Rhondda and Ogmore,"100,000","44,000",,18.5%,10.4%,13.0%,17.6%,20.7%,19.8%,,97.4%,0.1%,1.1%,0.3%,0.8%,0.2%,0.1%,,96.6%,1.0%,1.0%,0.2%,0.9%,0.2%,,61.3%,31.4%,0.2%,0.1%,0.0%,0.4%,0.1%,0.5%,6.0%,,39.5%,27.2%,19.9%,13.1%,0.3%
Ribble Valley,"99,100","41,700",,17.4%,8.7%,11.1%,17.9%,22.6%,22.2%,,93.3%,0.4%,2.0%,0.9%,2.8%,0.4%,0.1%,,88.6%,2.5%,6.1%,0.6%,1.6%,0.6%,,25.2%,63.7%,0.2%,1.3%,0.0%,3.7%,0.4%,0.3%,5.1%,,43.9%,35.8%,13.5%,5.8%,1.0%
Richmond and Northallerton,"93,000","40,900",,15.4%,9.0%,10.5%,15.7%,23.1%,26.2%,,93.3%,0.3%,2.7%,0.7%,2.2%,0.5%,0.4%,,94.0%,2.0%,1.8%,0.6%,0.9%,0.7%,,34.8%,57.8%,0.6%,0.8%,0.1%,0.3%,0.0%,0.5%,5.1%,,43.2%,24.4%,18.8%,13.0%,0.7%
Richmond Park,"111,000","45,700",,20.9%,8.0%,11.8%,24.3%,19.4%,15.6%,,65.4%,1.2%,13.4%,3.9%,10.2%,4.4%,1.5%,,56.8%,19.6%,10.9%,2.0%,6.0%,4.7%,,36.5%,44.4%,1.0%,2.3%,0.9%,5.7%,0.6%,0.7%,7.9%,,29.1%,29.8%,27.7%,12.6%,0.8%
Rochdale,"103,000","39,500",,22.9%,11.0%,13.5%,20.0%,17.8%,14.8%,,80.4%,0.6%,4.0%,2.3%,12.3%,0.3%,0.1%,,59.5%,3.5%,29.3%,3.1%,2.3%,2.2%,,26.0%,38.5%,0.2%,0.3%,0.1%,30.2%,0.1%,0.3%,4.4%,,28.9%,29.0%,19.9%,21.7%,0.5%
Rochester and Strood,"103,000","41,500",,20.0%,10.1%,14.4%,20.2%,19.3%,16.1%,,87.4%,0.5%,5.1%,2.9%,3.1%,0.8%,0.2%,,80.1%,5.8%,5.1%,5.1%,2.8%,1.2%,,44.0%,44.7%,0.5%,1.0%,0.1%,2.1%,1.5%,0.7%,5.4%,,29.7%,34.8%,18.4%,14.9%,2.1%
Romford,"108,000","41,800",,20.0%,9.7%,14.8%,20.7%,18.3%,16.6%,,78.2%,0.9%,9.2%,3.9%,6.4%,1.3%,0.2%,,62.3%,10.1%,12.8%,8.1%,4.1%,2.5%,,29.2%,51.1%,0.4%,2.9%,0.7%,7.5%,2.0%,0.4%,5.7%,,32.8%,35.2%,19.1%,11.7%,1.3%
Romsey and Southampton North,"98,600","40,000",,16.1%,12.9%,10.9%,17.6%,19.9%,22.7%,,86.0%,0.4%,5.6%,1.9%,4.8%,0.9%,0.3%,,82.8%,6.1%,6.4%,1.3%,2.1%,1.4%,,38.6%,49.5%,0.5%,0.8%,0.1%,2.8%,1.0%,0.4%,6.3%,,38.9%,29.0%,17.7%,13.1%,1.3%
Rossendale and Darwen,"101,000","44,100",,18.8%,9.1%,12.4%,19.0%,21.9%,18.9%,,95.4%,0.4%,1.8%,0.4%,1.7%,0.3%,0.1%,,92.2%,2.2%,3.6%,0.3%,1.4%,0.4%,,38.5%,52.3%,0.2%,0.1%,0.1%,3.1%,0.1%,0.4%,5.1%,,34.3%,34.1%,17.9%,13.2%,0.4%
Rother Valley,"91,700","39,300",,18.0%,9.0%,11.8%,17.5%,21.2%,22.5%,,96.1%,0.2%,1.6%,0.5%,1.3%,0.2%,0.1%,,93.6%,1.6%,2.5%,0.6%,1.1%,0.4%,,40.2%,52.0%,0.2%,0.2%,0.0%,1.9%,0.2%,0.3%,4.9%,,39.9%,32.7%,13.5%,13.5%,0.4%
Rotherham,"108,000","45,900",,19.8%,10.4%,14.1%,19.0%,19.6%,17.1%,,88.5%,0.2%,4.9%,1.4%,4.6%,0.3%,0.1%,,79.7%,4.3%,10.3%,1.8%,1.9%,2.0%,,38.8%,44.4%,0.2%,0.4%,0.0%,10.3%,0.2%,0.3%,5.4%,,28.8%,27.0%,17.1%,26.1%,0.9%
Rugby,"109,000","45,100",,19.2%,9.1%,13.8%,20.5%,19.0%,18.3%,,81.4%,0.6%,10.3%,2.3%,4.1%,0.9%,0.2%,,74.7%,11.0%,7.7%,2.8%,2.8%,1.1%,,36.1%,50.4%,0.4%,3.3%,0.1%,1.9%,1.3%,0.5%,6.0%,,33.3%,33.8%,18.4%,13.0%,1.5%
"Ruislip, Northwood and Pinner","99,900","38,700",,19.0%,8.3%,11.4%,21.5%,19.4%,20.4%,,66.9%,1.4%,8.2%,7.3%,14.1%,1.7%,0.3%,,44.1%,11.2%,32.4%,4.0%,4.1%,4.1%,,19.9%,39.6%,0.9%,17.9%,2.7%,9.3%,1.7%,2.1%,5.8%,,36.6%,32.7%,19.4%,10.7%,0.6%
Runcorn and Helsby,"93,100","40,800",,18.2%,9.2%,11.9%,18.9%,20.9%,20.8%,,95.0%,0.4%,2.4%,0.6%,1.1%,0.4%,0.1%,,93.7%,2.8%,1.1%,0.4%,1.5%,0.5%,,39.3%,54.3%,0.3%,0.2%,0.1%,0.6%,0.1%,0.3%,4.9%,,34.5%,29.3%,13.3%,21.7%,1.2%
Runnymede and Weybridge,"106,000","43,500",,19.2%,9.6%,11.7%,21.2%,19.9%,18.3%,,79.3%,0.9%,7.8%,3.5%,5.4%,2.5%,0.6%,,74.0%,11.4%,7.5%,1.6%,3.6%,1.8%,,33.9%,53.4%,0.5%,1.9%,0.3%,2.4%,0.9%,0.5%,6.2%,,33.4%,34.5%,18.9%,11.9%,1.3%
Rushcliffe,"100,000","42,100",,17.9%,9.9%,11.0%,19.3%,20.4%,21.5%,,91.0%,0.5%,2.8%,1.2%,3.5%,0.8%,0.3%,,84.7%,3.9%,6.5%,1.0%,2.9%,1.0%,,44.4%,43.4%,0.3%,1.8%,0.2%,2.5%,1.1%,0.5%,5.7%,,41.0%,34.5%,14.8%,8.5%,1.1%
Rutland and Stamford,"94,200","39,900",,16.7%,8.7%,10.2%,17.7%,22.0%,24.6%,,91.6%,0.4%,3.2%,1.6%,1.9%,0.9%,0.4%,,89.2%,3.7%,3.7%,1.0%,1.8%,0.7%,,36.0%,54.5%,0.3%,1.5%,0.1%,1.0%,0.9%,0.4%,5.3%,,42.1%,29.2%,16.4%,10.9%,1.5%
Salford,"121,000","52,400",,17.4%,17.0%,23.2%,18.7%,13.4%,10.3%,,74.6%,0.8%,9.6%,6.2%,7.0%,1.6%,0.2%,,66.3%,10.5%,6.7%,8.9%,3.9%,3.7%,,37.3%,44.6%,0.5%,1.0%,2.8%,6.2%,0.3%,0.5%,6.8%,,15.9%,19.2%,36.4%,27.5%,0.9%
Salisbury,"92,500","40,300",,17.1%,8.0%,10.9%,18.2%,21.6%,24.2%,,89.2%,0.4%,4.7%,1.5%,2.8%,0.8%,0.5%,,89.4%,4.9%,2.8%,0.9%,1.6%,0.6%,,38.3%,53.2%,0.4%,0.5%,0.1%,0.9%,0.1%,0.6%,5.9%,,38.2%,27.5%,17.6%,15.0%,1.7%
Scarborough and Whitby,"97,200","45,600",,15.6%,8.3%,10.9%,16.0%,22.8%,26.4%,,93.5%,0.2%,3.8%,0.6%,1.4%,0.3%,0.2%,,93.2%,3.6%,1.4%,0.3%,1.0%,0.5%,,39.8%,52.4%,0.3%,0.2%,0.1%,0.7%,0.0%,0.5%,6.0%,,40.0%,22.6%,22.3%,14.2%,1.0%
Scunthorpe,"105,000","45,000",,18.7%,9.4%,13.1%,18.1%,20.2%,20.5%,,87.1%,0.3%,8.3%,0.7%,3.2%,0.3%,0.1%,,84.3%,7.8%,4.8%,0.7%,1.2%,1.2%,,39.1%,50.2%,0.2%,0.3%,0.0%,3.8%,0.5%,0.4%,5.5%,,35.4%,28.5%,18.2%,17.6%,0.4%
Sefton Central,"90,800","39,000",,15.6%,8.2%,9.5%,16.4%,22.5%,27.9%,,96.2%,0.5%,1.4%,0.5%,0.9%,0.3%,0.2%,,94.8%,2.2%,1.2%,0.3%,1.3%,0.3%,,25.0%,68.8%,0.2%,0.3%,0.1%,0.4%,0.0%,0.3%,4.9%,,49.1%,33.0%,10.3%,7.1%,0.5%
Selby,"101,000","43,300",,18.1%,8.4%,12.8%,18.9%,21.5%,20.1%,,94.7%,0.2%,3.3%,0.5%,0.7%,0.3%,0.2%,,94.0%,3.6%,0.8%,0.4%,1.0%,0.3%,,40.1%,53.4%,0.2%,0.1%,0.1%,0.3%,0.1%,0.4%,5.3%,,36.1%,37.4%,12.9%,12.4%,1.3%
Sevenoaks,"99,500","40,300",,20.0%,8.3%,10.4%,19.7%,20.6%,21.0%,,88.3%,0.5%,4.5%,2.4%,2.6%,1.3%,0.5%,,84.4%,6.9%,3.2%,2.0%,2.7%,0.9%,,39.4%,51.7%,0.4%,0.8%,0.2%,1.1%,0.3%,0.4%,5.9%,,37.8%,34.1%,13.2%,13.2%,1.6%
Sheffield Brightside and Hillsborough,"110,000","44,700",,22.8%,11.2%,14.9%,18.9%,17.7%,14.4%,,79.8%,0.2%,6.4%,4.8%,8.0%,0.8%,0.1%,,63.3%,5.7%,13.0%,8.2%,4.2%,5.6%,,38.0%,36.7%,0.3%,0.4%,0.1%,18.5%,0.1%,0.4%,5.4%,,25.2%,23.1%,17.0%,34.2%,0.5%
Sheffield Central,"89,900","34,600",,11.1%,35.0%,20.4%,14.5%,10.3%,8.8%,,72.8%,0.3%,6.6%,4.6%,13.9%,1.5%,0.2%,,59.7%,7.2%,17.1%,5.9%,4.3%,5.8%,,48.5%,25.1%,0.8%,1.7%,0.2%,14.6%,0.2%,0.8%,8.1%,,18.6%,18.6%,45.0%,17.2%,0.6%
Sheffield Hallam,"93,000","37,800",,17.3%,13.4%,9.6%,18.6%,19.6%,21.5%,,91.0%,0.4%,2.5%,1.3%,3.8%,0.8%,0.2%,,84.4%,3.8%,5.9%,1.4%,3.1%,1.6%,,45.7%,42.2%,0.4%,1.1%,0.2%,3.7%,0.2%,0.5%,6.1%,,44.6%,34.5%,13.2%,7.5%,0.2%
